Bill Number,Short Title,Ministry,Member,Date of Introduction,Debate/Date Passed in LS,Debate/Date Passed in RS,Status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date
20,"The Appropriation (Railways) No. 2 Bill, 1968",RAILWAYS,,20 Mar 1968,20 Mar 1968,25 Mar 1968,Assented,9  of 1968,27/03/1968 ,,
21,"The Haryana Appropriaiton (Vote on Account) Bill, 1968",FINANCE,,20 Mar 1968,20 Mar 1968,26 Mar 1968,Assented,12  of 1968,28/03/1968 ,,
22,"The Haryana Appropriation Bill, 1968",FINANCE,,20 Mar 1968,20 Mar 1968,26 Mar 1968,Assented,11  of 1968,28/03/1968 ,,
18,"The Appropriation Bill, 1968",FINANCE,,18 Mar 1968,18 Mar 1968,21 Mar 1968,Assented,4  of 1968,25/03/1968 ,,
17,"The Appropriation (Vote on Account) Bill, 1968",FINANCE,,14 Mar 1968,14 Mar 1968,21 Mar 1968,Assented,5  of 1968,25/03/1968 ,,
XIII                ,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1968                                                                                                                                   ",HOME AFFAIRS,,11 Mar 1968,25 Mar 1968,14 Mar 1968,Assented,7  of 1968,27/03/1968 ,,
VI                  ,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 1968                                                                                                                           ",URBAN DEVELOPMENT AND POVERTY ALLEVIATION,,5 Mar 1968,7 Aug 1968,25 Jul 1968,Assented,32  of 1968,16/08/1968 ,,
XI                  ,"The West Bengal State Legislatue (Delegation of Powers) Bill, 1968                                                                                                                                      ",HOME AFFAIRS,,5 Mar 1968,25 Mar 1968,13 Mar 1968,Assented,6  of 1968,25/03/1968 ,,
14,"The Finance Bill, 1968",FINANCE,,29 Feb 1968,1 May 1968,7 May 1968,Assented,19  of 1968,11/05/1968 ,,
VII                 ,"The Contempt of Courts Bill, 1968                                                                                                                                                                       ",HOME AFFAIRS,,29 Feb 1968,20 Dec 1971,22 Nov 1971,Assented,70  of 1971,24/12/1971 ,,
VIII                ,"The Armed Forces (Special Powers) Continuance Bill, 1968                                                                                                                                                ",EXTERNAL AFFAIRS,,29 Feb 1968,26 Mar 1968,3 Apr 1968,Assented,10  of 1968,27/03/1968 ,,
9,"The Jammu and Kashmir Representation of the People (Supplementary) Bill, 1968",LAW AND JUSTICE,,19 Feb 1968,20 Mar 1968,23 Mar 1968,Assented,3  of 1968,23/03/1968 ,,
7,"The Delhi Municipal Corporation (Amendment) Bill, 1968",HOME AFFAIRS,,15 Feb 1968,18 Mar 1968,23 Mar 1968,Assented,2  of 1968,23/03/1968 ,,
174,"The Banking Laws (Amendment) Bill, 1967",FINANCE,,23 Dec 1967,6 Aug 1968,5 Dec 1968,Assented,58  of 1967,28/12/1968 ,,
XXX                 ,"The Delhi and Ajmer Rent Control (Nasirabad Contonment Repeal) Bill, 1967                                                                                                                               ",DEFENCE,,23 Dec 1967,21 Nov 1968,13 Feb 1968,Assented,49  of 1968,30/11/1968 ,,
171,"The Appropriation (No. 3) Bill, 1967",FINANCE,,21 Dec 1967,21 Dec 1967,22 Dec 1967,Assented,32  of 1967,26/12/1967 ,,
172,"The Appropriation (No. 4) Bill, 1967",FINANCE,,21 Dec 1967,21 Dec 1967,22 Dec 1967,Assented,33  of 1967,26/12/1967 ,,
173,"The Manipur Appropriation Bill, 1967",FINANCE,,21 Dec 1967,21 Dec 1967,23 Dec 1967,Assented,34  of 1967,26/12/1967 ,,
175,"The Haryana Appropriation Bill, 1967",FINANCE,,21 Dec 1967,21 Dec 1967,23 Dec 1967,Assented,35  of 1967,26/12/1967 ,,
XXIII               ,"The Registration of Birth and Deaths Bill, 1967                                                                                                                                                         ",HOME AFFAIRS,,18 Dec 1967,5 Jul 1969,27 Feb 1968,Assented,18  of 1969,31/05/1969 ,,
XXVII               ,"The Rice-Milling Industry (Regulation) Amendment Bill, 1967                                                                                                                                             ",,,18 Dec 1967,29 Jul 1968,13 Feb 1968,Assented,29  of 1968,08/07/1968 ,,
170,"The Indian Tariff (Amendment) Bill, 1967",COMMERCE AND INDUSTRY,,16 Dec 1967,21 Dec 1967,23 Dec 1967,Assented,31  of 1967,26/12/1967 ,,
163,"The Indian Coinage (Amendment) Bill, 1967",FINANCE,,12 Dec 1967,8 May 1968,25 Jul 1968,Assented,28  of 1968,07/08/1968 ,,
XXVIII              ,"The Haryana State Legislature (Delegation of Powers) Bill, 1967                                                                                                                                         ",HOME AFFAIRS,,12 Dec 1967,23 Mar 1967,19 Mar 1967,Assented,30  of 1967,26/03/1967 ,,
161,"The Pondicherry (Extension of Laws) Bill, 1967",HOME AFFAIRS,,11 Dec 1967,7 May 1968,11 May 1968,Assented,26  of 1968,24/05/1968 ,,
158,"The Official Languagues (Amendment) Bill, 1967",HOME AFFAIRS,,27 Nov 1967,16 Dec 1967,22 Dec 1967,Assented,1  of 1968,08/01/1968 ,,
XXII                ,"The Oaths Bill, 1967                                                                                                                                                                                    ",,,27 Nov 1967,12 Jan 1969,14 Feb 1968,Assented,44  of 1969,26/12/1969 ,,
157,"The Cotton Zentile Companies (Management of Undertakings and Liquidition or Recommendation) Bill, 1967",COMMERCE AND INDUSTRY,,20 Nov 1967,28 Nov 1967,11 Dec 1967,Assented,29  of 1967,23/12/1967 ,,
XX                  ,"The Dock Workers (Regulation of Employment) Amendment Bill, 1967                                                                                                                                        ",LABOUR,,20 Nov 1967,8 Oct 1970,12 May 1967,Assented,31  of 1970,28/08/1970 ,,
150,"The Taxation Laws (Amendment) Bill, 1967",FINANCE,,14 Nov 1967,29 Nov 1967,6 Dec 1967,Assented,27  of 1967,15/12/1967 ,,
152,"The Court Fees (Delhi Amendment) Bill, 1967",HOME AFFAIRS,,14 Nov 1967,27 Nov 1967,6 Dec 1967,Assented,28  of 1967,16/12/1967 ,,
153,"The Essential Commodities (Second Amendment) Bill, 1967",COMMERCE AND INDUSTRY,,14 Nov 1967,21 Dec 1967,23 Dec 1967,Assented,36  of 1967,30/12/1967 ,,
XIV                 ,"The Coal Bearing Areas (Acquisition and Development) Amendment Bill, 1967                                                                                                                               ",STEEL,,8 Oct 1967,23 Jul 1969,12 Jun 1967,Assented,23  of 1969,08/11/1969 ,,
XV                  ,"The Monopoliies and Restructive Trade Practieces Bill, 1967                                                                                                                                             ",,,18 Aug 1967,18 Dec 1969,24 Jul 1969,Assented,54  of 1969,27/12/1969 ,,
118,"The Bihar and Uttar Pradesh (Alteration of Boundaries) Bill, 1967",HOME AFFAIRS,,12 Aug 1967,13 Feb 1968,29 Apr 1968,Assented,24  of 1968,22/05/1968 ,,
120,"The Patents Bill, 1967",COMPANY AFFAIRS,,12 Aug 1967,29 Aug 1970,3 Sep 1970,Assented,39  of 1970,21/09/1970 ,,
80,"THE APPROPRIATION (RAILWAYS) No.2 BILL, 1967",RAILWAYS,,3 Aug 1967,4 Aug 1967,10 Aug 1967,Assented,23  of 1967,15/08/1967 ,,
111,"THE DISPLACED PERSONS (COMPENSATION AND REHABILITATION) AMENDMENT BILL, 1967",LABOUR  AND  EMPLOYMENT,,2 Aug 1967,13 Feb 1968,28 Mar 1968,Assented,17  of 1968,03/04/1968 ,,
108,"THE CONTRACT LABOUR (REGULATION AND ABOLITION) BILL, 1967",LABOUR  AND  EMPLOYMENT,,31 Jul 1967,5 Aug 1970,19 Aug 1970,Assented,37  of 1970,05/09/1970 ,,
102,"THE COTTON FABRICS (ADDITIONAL EXCISE DUTY) (REPEAL) lHLL, 1967",COMMERCE AND INDUSTRY,,25 Jul 1967,14 Nov 1967,28 Nov 1967,Assented,26  of 1967,01/12/1967 ,,
103,"THE FOOD CORPORATIONS (AMENDMENT) BILL, 1967",AGRICULTURE,,25 Jul 1967,10 Dec 1968,17 Dec 1968,Assented,57  of 1968,28/12/1968 ,,
107,"THE APPROPRIATION (No.2) BILL, 1967",FINANCE,,22 Jul 1967,22 Jul 1967,27 Jul 1967,Assented,19  of 1967,29/07/1967 ,,
101,"THE CENTRAL LAWS (EXTENSION TO JAMMU AND KASHMIR) BILL, 1967",HOME AFFAIRS,,19 Jul 1967,9 May 1968,13 May 1968,Assented,25  of 1968,24/05/1968 ,,
100,"THE DEPOSIT INSURANCE CORPORATION (AMENDMENT) BILL, 1967",FINANCE,,17 Jul 1967,21 Nov 1968,9 Dec 1968,Assented,56  of 1968,27/12/1968 ,,
93,"THE STANDARDS OF WEIGHTS AND MEASURES (EXTENSION TO KOHIMA AND MOKOKCHUNG DISTRICTS) BILL, 1967",COMMERCE AND INDUSTRY,,10 Jul 1967,2 Aug 1967,14 Aug 1967,Assented,25  of 1967,26/08/1967 ,,
77,"THE SALARIES AND ALLOWANCES OF MINISTERS (AMENDMENT) BILL, 1967",HOME AFFAIRS,,26 Jun 1967,24 Nov 1969,22 Dec 1969,Assented,47  of 1969,26/12/1969 ,,
86,"THE TEA DISTRICTS EMIGRANT LABOUR (REPEAL) BILL, 1967",LABOUR  AND  EMPLOYMENT,,26 Jun 1967,3 Dec 1970,9 Dec 1970,Assented,50  of 1970,24/12/1970 ,,
IX                  ,"The Indian Official Secrets (Amendment) Bill, 1967                                                                                                                                                      ",HOME AFFAIRS,,23 Jun 1967,12 Aug 1967,7 Aug 1967,Assented,24  of 1967,15/08/1967 ,,
81,"THE APPROPRIATION (RAILWAYS) No. 3 BILL, 1967",RAILWAYS,,22 Jun 1967,22 Jun 1967,24 Jun 1967,Assented,18  of 1967,03/07/1967 ,,
75,"THE IRON ORE MINES LABOUR WELFARE CESS (AMENDMENT) BILL, 1967",LABOUR  AND  EMPLOYMENT,,19 Jun 1967,10 Nov 1970,23 Nov 1970,Assented,41  of 1970,02/12/1970 ,,
76,"THE ANDHRA PRADESH AND MYSORE (TRANSFER OF TERRITORY) BILL, 1967",HOME AFFAIRS,,19 Jun 1967,29 Jul 1968,5 Aug 1968,Assented,36  of 1968,22/08/1968 ,,
VII                 ,"The Companies Tribunal (Abolition) Bill, 1967                                                                                                                                                           ",,,12 Jun 1967,26 Jun 1967,15 Jun 1967,Assented,17  of 1967,27/06/1967 ,,
74,"THE TEA (AMENDMENT) BILL, 1967",COMMERCE AND INDUSTRY,,9 Jun 1967,31 Jul 1967,10 Aug 1967,Assented,21  of 1967,13/08/1967 ,,
60,"THE UNLAWFUL ACTIVITIES (PREVENTION) BILL, 1967",HOME AFFAIRS,,31 May 1967,20 Dec 1967,27 Dec 1967,Assented,37  of 1967,30/12/1967 ,,
V                   ,"The Passports Bill, 1967                                                                                                                                                                                ",EXTERNAL AFFAIRS,,29 May 1967,20 Jun 1967,8 Jun 1967,Assented,5  of 1967,24/06/1967 ,,
61,"THE FINANCE (No. 2) BILL, 1967",FINANCE,,25 May 1967,28 Jul 1967,3 Aug 1967,Assented,20  of 1967,05/08/1967 ,,
47,"THE ANTI-CORRUPTION LAWS (AMENDMENT) BILL, 1967",HOME AFFAIRS,,24 May 1967,16 Jun 1967,22 Jun 1967,Assented,16  of 1967,25/06/1967 ,,
28,"THE ESSENTIAL COMMODITIES (AMENDMENT) BILL, 1967",COMMERCE AND INDUSTRY,,3 Apr 1967,8 Apr 1967,11 Apr 1967,Assented,14  of 1967,16/04/1967 ,,
21,"THE APPROPRIATION (RAILWAYS) VOTE ON ACCOUNT BILL, 1967",RAILWAYS,,28 Mar 1967,28 Mar 1967,30 Mar 1967,Assented,4  of 1967,31/03/1967 ,,
22,"THE APPROPRIATION (RAILWAYS) BILL, 1967",RAILWAYS,,28 Mar 1967,28 Mar 1967,30 Mar 1967,Assented,3  of 1967,31/03/1967 ,,
24,"THE GOA, DAMAN AND DIU APPROPRIATION BILL, 1967",FINANCE,,28 Mar 1967,28 Mar 1967,30 Mar 1967,Assented,5  of 1967,31/03/1967 ,,
25,"THE GOA, DAMAN AND DIU APPROPRIATION (VOTE ON ACCOUNT) BILL, 1967",FINANCE,,28 Mar 1967,28 Mar 1967,30 Mar 1967,Assented,6  of 1967,31/03/1967 ,,
26,"THE RAJASTHAN APPROPRIATION BILL, 1967",FINANCE,,28 Mar 1967,28 Mar 1967,31 Mar 1967,Assented,7  of 1967,31/03/1967 ,,
27,"THE RAJASTHAN APPROPRIATION (VOTE ON ACCOUNT) BILL, 1967",FINANCE,,28 Mar 1967,28 Mar 1967,31 Mar 1967,Assented,8  of 1967,31/03/1967 ,,
20,"THE APPROPRIATION BILL, 1967",FINANCE,,27 Mar 1967,27 Mar 1967,30 Mar 1967,Assented,1  of 1967,31/03/1967 ,,
23,"THE APPROPRIATION (VOTE ON ACCOUNT) BILL, 1967",FINANCE,,27 Mar 1967,27 Mar 1967,30 Mar 1967,Assented,2  of 1967,31/03/1967 ,,
19,"THE FINANCE BILL, 1967",FINANCE,,20 Mar 1967,8 Apr 1967,11 Apr 1967,Assented,12  of 1967,12/04/1967 ,,
4,"THE MINERAL PRODUCTS (ADDITIONAL DUTIES OF EXCISE AND CUSTOMS) AMENDMENT BILL, 1967",FINANCE,,20 Mar 1967,7 Apr 1967,10 Apr 1967,Assented,11  of 1967,12/04/1967 ,,
I                   ,"The Constitution (Twenty-first Amendment) Bill, 1967                                                                                                                                                    ",HOME AFFAIRS,,20 Mar 1967,4 Jul 1967,4 Apr 1967,Assented,1967  of 1967,04/10/1967 ,,
1,"THE ARMED FORCES (SPECIAL POWERS) CONTINUANCE BILL, 1967",EXTERNAL AFFAIRS,,18 Mar 1967,29 Mar 1967,3 Apr 1967,Assented,9  of 1967,04/04/1967 ,,
2,"THE REPRESENTATION OF THE PEOPLE (AMENDMENT) BILL, 1967",LAW AND JUSTICE,,18 Mar 1967,5 Apr 1967,8 Apr 1967,Assented,10  of 1967,11/04/1967 ,,
3,"THE LAND ACQUISITION (AMENDMENT AND VALIDATION) BILL, 1967",AGRICULTURE,,18 Mar 1967,6 Apr 1967,10 Apr 1967,Assented,13  of 1967,12/04/1967 ,,
81,"The Union Duties of Excise (Distribution) Amendment Bill, 1965",FINANCE,,26 Nov 1966,8 Dec 1965,11 Dec 1965,Assented,47  of 1965,17/12/1965 ,,
87,"The Indian Tariff (Second Amendment) Bill, 1966",COMMERCE AND INDUSTRY,,24 Nov 1966,3 Dec 1966,8 Dec 1966,Assented,50  of 1966,15/12/1966 ,,
88,"The Appropriation (No.5) Bill, 1966",FINANCE,,23 Nov 1966,24 Nov 1966,3 Dec 1966,Assented,46  of 1966,11/12/1966 ,,
90,"The Appropriation (No.4) Bill, 1966",FINANCE,,23 Nov 1966,24 Nov 1966,3 Dec 1966,Assented,45  of 1966,11/12/1966 ,,
81,"The Goa, Daman and Diu (Opinion Poll) Bill, 1966",HOME AFFAIRS,,21 Nov 1966,1 Dec 1966,7 Dec 1966,Assented,38  of 1966,11/12/1966 ,,
84,"The Kerala Appropriation (No.3) Bill, 1966",FINANCE,,21 Nov 1966,22 Nov 1966,1 Dec 1966,Assented,39  of 1966,11/12/1966 ,,
85,"The Kerala Appropriation (No. 5) Bill, 1966",FINANCE,,21 Nov 1966,22 Nov 1966,1 Dec 1966,Assented,41  of 1966,11/12/1966 ,,
86,"The Kerala Appropriation (No.4) Bill, 1966",FINANCE,,21 Nov 1966,22 Nov 1966,1 Dec 1966,Assented,40  of 1966,11/12/1966 ,,
82,"The Appropriation (Railways) No. 3 Bill, 1966",RAILWAYS,,18 Nov 1966,21 Nov 1966,1 Dec 1966,Assented,42  of 1966,11/12/1966 ,,
83,"The Appropriation (Railways) No.4 Bill, 1966",RAILWAYS,,18 Nov 1966,21 Nov 1966,1 Dec 1966,Assented,43  of 1966,11/12/1966 ,,
76,"The Produce Cess (Amendment) Bill, 1966",AGRICULTURE,,14 Nov 1966,29 Nov 1966,7 Dec 1966,Assented,49  of 1966,15/12/1966 ,,
75,"The Preventive Detention (Continuance) Bill, 1966",HOME AFFAIRS,,10 Nov 1966,29 Nov 1966,6 Dec 1966,Assented,48  of 1966,15/12/1966 ,,
XXIII               ,"The Post-Graduate Institute of Medical Education and Research, Chandigarh, Bill, 1966                                                                                                                   ",HEALTH AND FAMILY WELFARE,,10 Nov 1966,5 Dec 1966,22 Nov 1966,Assented,51  of 1966,17/12/1966 ,,
73,"The Metal Corporation of India (Acquisition of Undertaking) Bill, 1966",STEEL,,7 Nov 1966,14 Nov 1966,22 Nov 1966,Assented,36  of 1966,03/12/1966 ,,
74,"The Companies (Amendment) Bill, 1966",LAW AND JUSTICE,,7 Nov 1966,14 Nov 1966,23 Nov 1966,Assented,37  of 1966,04/12/1966 ,,
XXII                ,"The Police Forces (Restriction of Rights) Bill, 1966                                                                                                                                                    ",HOME AFFAIRS,,7 Nov 1966,30 Nov 1966,14 Nov 1966,Assented,33  of 1966,02/12/1966 ,,
68,"The Punjab Reorganisation Bill, 1966",HOME AFFAIRS,,3 Sep 1966,7 Sep 1966,10 Sep 1966,Assented,31  of 1966,18/09/1966 ,,
58,"The Representation of the People (Amendment) Bill, 1966",LAW AND JUSTICE,,29 Aug 1966,25 Nov 1966,5 Dec 1966,Assented,47  of 1966,13/12/1966 ,,
60,"The Delhi Municipal Corporation (Validation of Electricity Tax) Bill, 1966",HOME AFFAIRS,,29 Aug 1966,8 Nov 1966,23 Nov 1966,Assented,35  of 1966,03/12/1966 ,,
61,"The Appropriation (No.3) Bill, 1966",FINANCE,,24 Aug 1966,25 Aug 1966,31 Aug 1966,Assented,27  of 1966,07/09/1966 ,,
55,"The Essential Commodities (Amendment) Bill, 1966",AGRICULTURE,,19 Aug 1966,31 Aug 1966,3 Sep 1966,Assented,25  of 1966,03/09/1966 ,,
56,"the Punjab State Legislature (Delegation of Powers) Bill, 1966",HOME AFFAIRS,,19 Aug 1966,1 Sep 1966,5 Sep 1966,Assented,28  of 1966,07/09/1966 ,,
54,"the Customs (Amendment) Bill, 1966",FINANCE,,12 Aug 1966,16 Aug 1966,25 Aug 1966,Assented,20  of 1966,31/08/1966 ,,
50,"The Jayanti Shipping Company (Taking over of Management) Bill, 1966","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",,8 Aug 1966,25 Aug 1966,2 Sep 1966,Assented,24  of 1966,03/09/1966 ,,
51,"The Criminal Law Amendment (Amending) Bill, 1966",HOME AFFAIRS,,8 Aug 1966,16 Aug 1966,29 Aug 1966,Assented,22  of 1966,03/09/1966 ,,
43,"The Advocates (Amendment) Bill, 1966",LAW AND JUSTICE,,1 Aug 1966,16 Aug 1966,29 Aug 1966,Assented,23  of 1966,03/09/1966 ,,
XIII                ,"The Special Marriage (Amendment) Bill, 1966                                                                                                                                                             ",,,27 Jul 1966,20 May 1970,25 Jul 1968,Assented,29  of 1970,12/08/1970 ,,
37,"The Kerala Appropriation (No.2) Bill, 1966",FINANCE,,11 May 1966,11 May 1966,13 May 1966,Assented,14  of 1966,17/05/1966 ,,
35,"The Appropriation (No.2) Bill, 1966",FINANCE,,29 Apr 1966,29 Apr 1966,7 May 1966,Assented,12  of 1966,13/05/1966 ,,
33,"The Asian Development Bank Bill, 1966",FINANCE,,28 Apr 1966,14 May 1966,18 May 1966,Assented,18  of 1966,29/05/1966 ,,
32,"The Produce Cess Bill, 1966",AGRICULTURE,,1 Apr 1966,12 May 1966,17 May 1966,Assented,15  of 1966,21/05/1966 ,,
29,"The Kerala Appropriation (Vote on Account) Bill, 1966",FINANCE,,25 Mar 1966,25 Mar 1966,30 Mar 1966,Assented,11  of 1966,30/03/1966 ,,
24,"The Appropriation (Railways) No.2 Bill, 1966",RAILWAYS,,24 Mar 1966,24 Mar 1966,29 Mar 1966,Assented,8  of 1966,30/03/1966 ,,
25,"The Appropriation (Railways) Bill, 1966",RAILWAYS,,24 Mar 1966,24 Mar 1966,29 Mar 1966,Assented,7  of 1966,30/03/1966 ,,
27,"The Kerala Appropriation Bill, 1966",FINANCE,,24 Mar 1966,24 Mar 1966,30 Mar 1966,Assented,10  of 1966,30/03/1966 ,,
26,"The Appropriation Bill, 1966",FINANCE,,22 Mar 1966,22 Mar 1966,28 Mar 1966,Assented,6  of 1966,30/03/1966 ,,
22,"The Appropriation (Vote on Account) Bill, 1966",FINANCE,,18 Mar 1966,18 Mar 1966,23 Mar 1966,Assented,5  of 1966,26/03/1966 ,,
19,"The Orissa Legislature Assembly (Extension of Duration) Bill, 1966",LAW AND JUSTICE,,17 Mar 1966,14 May 1966,18 May 1966,Assented,16  of 1966,29/05/1966 ,,
17,"The Finance Bill, 1966",FINANCE,,28 Feb 1966,5 May 1966,12 May 1966,Assented,13  of 1966,13/05/1966 ,,
15,"The Armed Forces (Special Powers) Amendment Bill, 1966",EXTERNAL AFFAIRS,,25 Feb 1966,21 Mar 1966,28 Mar 1966,Assented,9  of 1966,30/03/1966 ,,
14,"The Imports and Exports (Control) Amendment Bill, 1966",COMMERCE AND INDUSTRY,,22 Feb 1966,10 Mar 1966,15 Mar 1966,Assented,2  of 1966,19/03/1966 ,,
12,"The Delhi Land Reforms (Amendment) Bill, 1966",HOME AFFAIRS,,17 Feb 1966,9 Mar 1966,14 Mar 1966,Assented,1  of 1966,18/03/1966 ,,
5,"The Indian Tariff (Amendment) Bill, 1966",COMMERCE AND INDUSTRY,,16 Feb 1966,9 Mar 1966,11 Mar 1966,Assented,3  of 1966,19/03/1966 ,,
XIV                 ,"The Central Industrial Security Force Bill, 1966                                                                                                                                                        ",HOME AFFAIRS,,8 Feb 1966,19 Nov 1968,13 May 1968,Assented,50  of 1968,12/02/1968 ,,
XVI                 ,"The Railway Property (Inlawful Possession) Bill, 1966                                                                                                                                                   ",RAILWAYS,,8 Jan 1966,9 Jun 1966,17 Aug 1966,Assented,29  of 1966,16/09/1966 ,,
1,"the Armed Forces (Special Powers) Continuance Bill, 1965",EXTERNAL AFFAIRS,,17 Dec 1965,19 Mar 1965,31 Mar 1965,Assented,9  of 1965,01/04/1965 ,,
92,"The Unit Trust of India (Amendment) Bill, 1965",FINANCE,,10 Dec 1965,15 Feb 1966,17 May 1966,Assented,17  of 1966,29/05/1966 ,,
XVII                ,"The Merchant Shipping (Amendment) Bill, 1965                                                                                                                                                            ",,,9 Dec 1965,27 Jul 1966,7 Apr 1966,Assented,21  of 1966,31/08/1966 ,,
90,"the Delhi High Court Bill, 1965",HOME AFFAIRS,,6 Dec 1965,1 Sep 1966,5 Sep 1966,Assented,26  of 1966,05/09/1966 ,,
89,"The Indian Tariff (Amendment) Bill, 1965",COMMERCE AND INDUSTRY,,3 Dec 1965,8 Dec 1965,11 Dec 1965,Assented,46  of 1965,17/12/1965 ,,
82,"The Electricty (Supply) Amendment Bill, 1965",POWER,,29 Nov 1965,29 Jul 1966,10 Sep 1966,Assented,30  of 1966,16/09/1966 ,,
83,"Kerala Appropriation (No.5) Bill, 1965",FINANCE,,29 Nov 1965,30 Nov 1965,7 Dec 1965,Assented,43  of 1965,10/12/1965 ,,
79,"The Estate Duty (Distribution) Amendment Bill, 1965",FINANCE,,26 Nov 1965,8 Dec 1965,11 Dec 1965,Assented,51  of 1965,22/12/1965 ,,
80,"The Additional Duties of Excise (Goods of Special Importance) Amendment Bill, 1965",FINANCE,,26 Nov 1965,8 Dec 1965,11 Dec 1965,Assented,48  of 1965,22/12/1965 ,,
76,"The Companies (Second Amendment) Bill, 1965",FINANCE,,22 Nov 1965,8 Nov 1966,22 Nov 1966,Assented,34  of 1965,03/12/1966 ,,
71,"The Appropriation (No.5) Bill, 1965",FINANCE,,18 Nov 1965,19 Nov 1965,25 Nov 1965,Assented,37  of 1965,27/11/1965 ,,
72,"The Delhi Administration Bill, 1965",HOME AFFAIRS,,18 Nov 1965,18 May 1966,19 May 1966,Assented,19  of 1966,02/06/1966 ,,
XIX                 ,"The Motor Vehicles (Amendment) Bill, 1965                                                                                                                                                               ",,,12 Nov 1965,27 Nov 1969,19 Dec 1968,Assented,56  of 1969,29/12/1969 ,,
XXI                 ,"The Beedi and Cigar Workers (Conditions of Employment) Bill, 1965                                                                                                                                       ",LABOUR,,12 Nov 1965,11 Jan 1966,16 Feb 1966,Assented,32  of 1966,30/11/1966 ,,
69,"The Metal Corporation of India (Acquisition of Undertaking) Bill, 1965",STEEL,,10 Nov 1965,22 Nov 1965,7 Dec 1965,Assented,44  of 1965,12/12/1965 ,,
67,"The Taxation Laws (Amendment and Miscellaneous Provisions) Bill, 1965",FINANCE,,3 Nov 1965,18 Nov 1965,29 Nov 1965,Assented,41  of 1965,04/12/1965 ,,
65,"The Railways (Employment of Members of the Armed Forces) Bill, 1965",DEFENCE,,24 Sep 1965,11 Nov 1965,24 Nov 1965,Assented,40  of 1965,03/12/1965 ,,
56,"The Goa, Daman and Diu (Absorbed Employees) Bill, 1965",HOME AFFAIRS,,16 Sep 1965,8 Dec 1965,11 Dec 1965,Assented,50  of 1965,22/12/1965 ,,
57,"The Appropriation (No.4) Bill, 1965",FINANCE,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,27  of 1965,25/09/1965 ,,
58,"The Kerala Appropriation (No.4) Bill, 1965",FINANCE,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,25  of 1965,25/09/1965 ,,
59,"The Appropriation (No.3) Bill, 1965",FINANCE,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,26  of 1965,25/09/1965 ,,
60,"The Kerala Appropriation (No.3) Bill, 1965",FINANCE,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,24  of 1965,25/09/1965 ,,
61,"The Appropriation (Railways) No.3 Bill, 1965",RAILWAYS,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,28  of 1965,25/09/1965 ,,
63,"The Appropriation (Railway) No.4 Bill, 1965",RAILWAYS,,15 Sep 1965,16 Sep 1965,24 Sep 1965,Assented,29  of 1965,25/09/1965 ,,
55,"The Life Insurance Corporation (Amendment) Bill, 1965",FINANCE,,13 Sep 1965,15 Sep 1965,23 Sep 1965,Assented,33  of 1965,29/09/1965 ,,
48,"The Indian Works of Defence (Amendment) Bill, 1965",DEFENCE,,23 Aug 1965,21 Sep 1965,24 Nov 1965,Assented,39  of 1965,03/12/1965 ,,
53,"The Finance (No.2) Bill, 1965",FINANCE,,19 Aug 1965,,,Assented,15  of 1965,,,
50,"The Employees' State Insurance (Amendment) Bill, 1965",LAW AND JUSTICE,,18 Aug 1965,15 Nov 1966,24 Nov 1966,Assented,44  of 1966,11/12/1966 ,,
49,"The Payment of Bonus Bill, 1965",LABOUR  AND  EMPLOYMENT,,16 Aug 1965,9 Sep 1965,22 Sep 1965,Assented,21  of 1965,25/09/1965 ,,
51,"The Aligarh Muslim University (Amendment) Bill, 1965",HUMAN RESOURCE  DEVELOPMENT,,16 Aug 1965,6 Sep 1965,16 Sep 1965,Assented,19  of 1965,22/09/1965 ,,
XIII                ,"The Goa, Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Bill, 1965                                                                                                    ",,,16 Aug 1965,22 Sep 1965,13 Sep 1965,Assented,30  of 1965,25/09/1965 ,,
36,"The Seamen's Provident Fund Bill, 1965",ROAD TRANSPORT AND HIGHWAYS,,11 May 1965,18 Mar 1966,15 Feb 1966,Assented,,26/03/1966 ,,
39,"The Cardamom Bill, 1965",COMMERCE AND INDUSTRY,,11 May 1965,17 Sep 1965,25 Nov 1965,Assented,42  of 1965,09/12/1965 ,,
40,"The Delhi Motor Vehicls Taxation (Amendment) Bill, 1965",ROAD TRANSPORT AND HIGHWAYS,,11 May 1965,14 Sep 1965,18 Nov 1965,Assented,36  of 1965,27/11/1965 ,,
37,"The Delhi Land Reforms (Amendment) Bill, 1965",HOME AFFAIRS,,10 May 1965,14 Sep 1965,17 Nov 1965,Assented,38  of 1965,30/11/1965 ,,
38,"The Kerala Appropriation (No.2) Bill, 1965",FINANCE,,10 May 1965,10 May 1965,13 May 1965,Assented,13  of 1965,14/05/1965 ,,
